"departure_airport","departure_date","amount"
Москва - Домодедово,2016-08-15,53
Москва - Шереметьево,2016-08-15,46
Санкт-Петербург - Пулково,2016-08-15,31
Москва - Внуково,2016-08-15,28
Новосибирск - Толмачёво,2016-08-15,19
Екатеринбург - Кольцово,2016-08-15,12
Красноярск - Емельяново,2016-08-15,11
Брянск - Брянск,2016-08-15,10
Пермь - Пермь,2016-08-15,10
Ростов-на-Дону - Ростов-на-Дону,2016-08-15,10
Новый Уренгой - Новый Уренгой,2016-08-15,9
Советский - Советский,2016-08-15,9
Тюмень - Рощино,2016-08-15,9
Сочи - Сочи,2016-08-15,9
Сургут - Сургут,2016-08-15,8
Ханты-Мансийск - Ханты-Мансийск,2016-08-15,8
Казань - Казань,2016-08-15,7
Нижний Новгород - Стригино,2016-08-15,7
Челябинск - Челябинск,2016-08-15,7
Новокузнецк - Спиченково,2016-08-15,7
Хабаровск - Хабаровск-Новый,2016-08-15,6
Ульяновск - Баратаевка,2016-08-15,6
Мирный - Мирный,2016-08-15,6
Волгоград - Гумрак,2016-08-15,6
Иркутск - Иркутск,2016-08-15,6
Киров - Победилово,2016-08-15,6
Петрозаводск - Бесовец,2016-08-15,6
Белгород - Белгород,2016-08-15,6
Уфа - Уфа,2016-08-15,6
Чебоксары - Чебоксары,2016-08-15,5
Оренбург - Оренбург-Центральный,2016-08-15,5
Томск - Богашёво,2016-08-15,5
Саратов - Саратов-Центральный,2016-08-15,4
Пенза - Пенза,2016-08-15,4
Когалым - Когалым,2016-08-15,4
Сыктывкар - Сыктывкар,2016-08-15,4
Тамбов - Донское,2016-08-15,4
Омск - Омск-Центральный,2016-08-15,4
Южно-Сахалинск - Хомутово,2016-08-15,4
Воркута - Воркута,2016-08-15,4
Элиста - Элиста,2016-08-15,4
Магнитогорск - Магнитогорск,2016-08-15,4
Йошкар-Ола - Йошкар-Ола,2016-08-15,4
Архангельск - Талаги,2016-08-15,4
Нерюнгри - Чульман,2016-08-15,4
Краснодар - Краснодар,2016-08-15,3
Самара - Курумоч,2016-08-15,3
Нижневартовск - Нижневартовск,2016-08-15,3
Норильск - Норильск,2016-08-15,3
Ухта - Ухта,2016-08-15,3
Владивосток - Владивосток,2016-08-15,3
Ульяновск - Ульяновск-Восточный,2016-08-15,3
Махачкала - Уйташ,2016-08-15,3
Нальчик - Нальчик,2016-08-15,3
Усть-Илимск - Усть-Илимск,2016-08-15,3
Надым - Надым,2016-08-15,3
Курган - Курган,2016-08-15,3
Бугульма - Бугульма,2016-08-15,3
Нижнекамск - Бегишево,2016-08-15,3
Минеральные Воды - Минеральные Воды,2016-08-15,3
Абакан - Абакан,2016-08-15,3
Усинск - Усинск,2016-08-15,2
Курск - Курск-Восточный,2016-08-15,2
Анапа - Витязево,2016-08-15,2
Мурманск - Мурманск,2016-08-15,2
Калуга - Калуга,2016-08-15,2
Якутск - Якутск,2016-08-15,2
Череповец - Череповец,2016-08-15,2
Ноябрьск - Ноябрьск,2016-08-15,2
Владикавказ - Беслан,2016-08-15,2
Салехард - Салехард,2016-08-15,2
Псков - Псков,2016-08-15,2
Нарьян-Мар - Нарьян-Мар,2016-08-15,2
Горно-Алтайск - Горно-Алтайск,2016-08-15,2
Калининград - Храброво,2016-08-15,2
Саранск - Саранск,2016-08-15,2
Урай - Петрозаводск,2016-08-15,2
Воронеж - Воронеж,2016-08-15,2
Барнаул - Барнаул,2016-08-15,2
Астрахань - Астрахань,2016-08-15,2
Улан-Удэ - Байкал,2016-08-15,2
Чита - Чита,2016-08-15,1
Братск - Братск,2016-08-15,1
Орск - Орск,2016-08-15,1
Кызыл - Кызыл,2016-08-15,1
Белоярский - Белоярский,2016-08-15,1
Нягань - Нягань,2016-08-15,1
Ставрополь - Ставрополь,2016-08-15,1
Липецк - Липецк,2016-08-15,1
Ижевск - Ижевск,2016-08-15,1
Грозный - Грозный,2016-08-15,1
Удачный - Полярный,2016-08-15,1
Благовещенск - Игнатьево,2016-08-15,1
Кемерово - Кемерово,2016-08-15,1
Ярославль - Туношна,2016-08-15,1
Усть-Кут - Усть-Кут,2016-08-15,1
Стрежевой - Стрежевой,2016-08-15,1
Петропавловск-Камчатский - Елизово,2016-08-15,1
Москва - Домодедово,2016-08-16,55
Москва - Шереметьево,2016-08-16,51
Санкт-Петербург - Пулково,2016-08-16,30
Москва - Внуково,2016-08-16,29
Новосибирск - Толмачёво,2016-08-16,17
Красноярск - Емельяново,2016-08-16,11
Брянск - Брянск,2016-08-16,10
Екатеринбург - Кольцово,2016-08-16,10
Пермь - Пермь,2016-08-16,10
Ростов-на-Дону - Ростов-на-Дону,2016-08-16,9
Советский - Советский,2016-08-16,9
Сургут - Сургут,2016-08-16,8
Новый Уренгой - Новый Уренгой,2016-08-16,8
Сочи - Сочи,2016-08-16,8
Ханты-Мансийск - Ханты-Мансийск,2016-08-16,8
Казань - Казань,2016-08-16,8
Ульяновск - Баратаевка,2016-08-16,7
Хабаровск - Хабаровск-Новый,2016-08-16,7
Челябинск - Челябинск,2016-08-16,7
Уфа - Уфа,2016-08-16,6
Белгород - Белгород,2016-08-16,6
Тюмень - Рощино,2016-08-16,6
Мирный - Мирный,2016-08-16,6
Петрозаводск - Бесовец,2016-08-16,6
Киров - Победилово,2016-08-16,6
Новокузнецк - Спиченково,2016-08-16,6
Архангельск - Талаги,2016-08-16,5
Нижний Новгород - Стригино,2016-08-16,5
Элиста - Элиста,2016-08-16,5
Оренбург - Оренбург-Центральный,2016-08-16,5
Волгоград - Гумрак,2016-08-16,5
Томск - Богашёво,2016-08-16,5
Иркутск - Иркутск,2016-08-16,5
Чебоксары - Чебоксары,2016-08-16,5
Ульяновск - Ульяновск-Восточный,2016-08-16,4
Воркута - Воркута,2016-08-16,4
Саратов - Саратов-Центральный,2016-08-16,4
Тамбов - Донское,2016-08-16,4
Йошкар-Ола - Йошкар-Ола,2016-08-16,4
Ставрополь - Ставрополь,2016-08-16,4
